Siruta,Localitate,Judet,Abs_liceal,Abs_postlic,Abs_primar_gimn,Abs_profes,Abs_tehnic,Abs_univ,Pop_liceal,Pop_profess,Pop_primar_gimn,Pop_univ
1017,Municipiul Alba Iulia,AB,873,174,598,72,0,1180,3814,458,5976,4953
1071,Ciugud,AB,0,0,7,0,0,0,0,0,108,0
1151,Oras Abrud,AB,90,0,55,12,0,0,377,21,400,0
1213,Municipiul Aiud,AB,384,108,213,14,0,0,1606,237,1819,0
1348,Municipiul Blaj,AB,299,42,225,33,0,20,1330,265,1887,111
1455,Oras Campeni,AB,309,71,69,12,0,0,1232,169,646,0
1696,Oras Cugir,AB,144,57,137,23,0,0,610,102,1461,0
1794,Oras Ocna Mures,AB,145,65,127,0,0,0,716,109,1003,0
1874,Municipiul Sebes,AB,372,0,269,91,0,0,1451,342,2683,0
1936,Oras Zlatna,AB,41,0,66,9,0,0,194,0,481,0
2130,Albac,AB,45,0,21,0,0,0,165,51,177,0
2309,Almasu Mare,AB,0,0,8,0,0,0,0,0,71,0
2381,Arieseni,AB,19,0,20,0,0,0,86,38,131,0
2577,Avram Iancu,AB,0,0,18,0,0,0,0,0,122,0
2915,Oras Baia De Aries,AB,119,30,32,0,0,0,488,11,194,0
2988,Berghin,AB,0,0,9,0,0,0,0,0,121,0
3039,Bistra,AB,0,0,38,0,0,0,0,0,359,0
3397,Blandiana,AB,0,0,8,0,0,0,0,0,64,0
3459,Bucium,AB,0,0,7,0,0,0,0,0,53,0
3761,Cenade,AB,0,0,8,0,0,0,0,0,84,0
3805,Cergau,AB,0,0,15,0,0,0,0,0,126,0
3841,Ceru-Bacainti,AB,0,0,4,0,0,0,0,0,19,0
3958,Cetatea De Balta,AB,0,0,12,0,0,0,0,0,264,0
4008,Ciuruleasa,AB,0,0,13,0,0,0,0,0,86,0
4106,Calnic,AB,0,0,19,0,0,0,0,0,205,0
4142,Cricau,AB,0,0,19,0,0,0,0,0,138,0
4188,Craciunelu De Jos,AB,0,0,14,0,0,0,0,0,182,0
4240,Daia Romana,AB,0,0,32,0,0,0,0,0,227,0
4268,Dostat,AB,0,0,8,0,0,0,0,0,115,0
4302,Farau,AB,0,0,7,0,0,0,0,0,121,0
4366,Galda De Jos,AB,0,0,31,0,0,0,0,0,230,0
4482,Garbova,AB,0,0,16,0,0,0,0,0,189,0
4525,Garda De Sus,AB,0,0,25,0,0,0,0,0,113,0
4703,Hoparta,AB,0,0,11,0,0,0,0,0,112,0
4767,Horea,AB,0,0,18,0,0,0,0,0,163,0
4927,Ighiu,AB,0,0,41,0,0,0,0,0,456,0
4981,Intregalde,AB,0,0,3,0,0,0,0,0,21,0
5103,Jidvei,AB,16,0,58,0,0,0,188,23,493,0
5167,Livezile,AB,0,0,6,0,0,0,0,0,46,0
5210,Lopadea Noua,AB,0,0,21,0,0,0,0,0,168,0
5309,Lunca Muresului,AB,0,0,23,0,0,0,0,0,226,0
5336,Lupsa,AB,0,0,34,0,0,0,0,0,170,0
5577,Metes,AB,0,0,11,0,0,0,0,0,100,0
5700,Mihalt,AB,0,0,20,0,0,0,0,0,178,0
5755,Miraslau,AB,0,0,9,0,0,0,0,0,88,0
5826,Mogos,AB,0,0,2,0,0,0,0,0,30,0
6048,Noslac,AB,0,0,14,0,0,0,0,0,113,0
6119,Ocolis,AB,0,0,2,0,0,0,0,0,13,0
6164,Ohaba,AB,0,0,5,0,0,0,0,0,34,0
6217,Pianu,AB,0,0,35,0,0,0,0,0,227,0
6271,Poiana Vadului,AB,0,0,17,0,0,0,0,0,102,0
6397,Ponor,AB,0,0,3,0,0,0,0,0,21,0
6468,Posaga,AB,0,0,10,0,0,0,0,0,42,0
6547,Radesti,AB,0,0,8,0,0,0,0,0,86,0
6592,Rametea,AB,0,0,8,0,0,0,0,0,75,0
6627,Ramet,AB,0,0,3,0,0,0,0,0,9,0
6761,Rosia Montana,AB,0,0,14,0,0,0,0,0,138,0
6930,Rosia De Secas,AB,0,0,19,0,0,0,0,0,148,0
6976,Salciua,AB,0,0,16,0,0,0,0,0,80,0
7044,Salistea,AB,0,0,17,0,0,0,0,0,184,0
7099,Sasciori,AB,0,0,69,0,0,0,0,0,697,0
