Judet,Votanti_LP,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_
ab,5343000,47177.75,47177.75,190592.5,157192.5,822704,137710.9,47177.75,152115.5
ag,24123000,96979.5,96979.5,323265.0,323265.0,1293060,64653.0,96979.5,323265.0
ar,11427000,71152.05,71152.05,237173.5,237173.5,948694,47434.7,71152.05,237173.5
b,3150000,316109.85,316109.85,1053699.5,1053699.5,4214798,210739.9,316109.85,1053699.5
bc,31062000,112153.34999999999,112153.34999999999,373844.5,373844.5,1495378,74768.9,112153.34999999999,373844.5
bh,43531000,92921.25,92921.25,309737.5,309737.5,1238950,61947.5,92921.25,309737.5
bn,44980000,49423.5,49423.5,164745.0,164745.0,658980,32949.0,49423.5,164745.0
br,30646000,53457.0,53457.0,178190.0,178190.0,712760,35638.0,53457.0,178190.0
bt,45045000,68460.6,68460.6,228202.0,228202.0,912808,45640.4,68460.6,228202.0
bv,37439000,94703.4,94703.4,315678.0,315678.0,1262712,63135.6,94703.4,315678.0
bz,66294000,71852.7,71852.7,239509.0,239509.0,958036,47901.8,71852.7,239509.0
cj,74763000,108365.7,108365.7,361219.0,361219.0,1444876,72243.8,108365.7,361219.0
cl,95045000,47638.8,47638.8,158796.0,158796.0,635184,31759.2,47638.8,158796.0
cs,64988000,49244.55,49244.55,164148.5,164148.5,656594,32829.7,49244.55,164148.5
ct,69895000,115533.0,115533.0,385110.0,385110.0,1540440,77022.0,115533.0,385110.0
cv,47520000,34327.8,34327.8,114426.0,114426.0,457704,22885.2,34327.8,114426.0
db,118308000,79318.65,79318.65,264395.5,264395.5,1057582,52879.1,79318.65,264395.5
dj,134199000,105126.0,105126.0,350420.0,350420.0,1401680,70084.0,105126.0,350420.0
gj,95515000,54964.35,54964.35,183214.5,183214.5,732858,36642.9,54964.35,183214.5
gl,84305000,94838.25,94838.25,316127.5,316127.5,1264510,63225.5,94838.25,316127.5
gr,103218000,41539.5,41539.5,138465.0,138465.0,553860,27693.0,41539.5,138465.0
hd,103569000,70533.45,70533.45,235111.5,235111.5,940446,47022.3,70533.45,235111.5
hr,96011000,50068.35,50068.35,166894.5,166894.5,667578,33378.9,50068.35,166894.5
if,88341000,58637.85,58637.85,195459.5,195459.5,781838,39091.9,58637.85,195459.5
il,127674000,44091.0,44091.0,146970.0,146970.0,587880,29394.0,44091.0,146970.0
is,161063000,138158.4,138158.4,460528.0,460528.0,1842112,92105.59999999999,138158.4,460528.0
mh,126951000,43050.75,43050.75,143502.5,143502.5,574010,28700.5,43050.75,143502.5
mm,150309000,78929.55,78929.55,263098.5,263098.5,1052394,52619.7,78929.55,263098.5
ms,204765000,89452.8,89452.8,298176.0,298176.0,1192704,59635.2,89452.8,298176.0
nt,174300000,86701.05,86701.05,289003.5,289003.5,1156014,57800.7,86701.05,289003.5
ot,246120000,67549.95,67549.95,225166.5,225166.5,900666,45033.299999999996,67549.95,225166.5
ph,239772000,121409.1,121409.1,404697.0,404697.0,1618788,80939.4,121409.1,404697.0
sb,160480000,69676.95,69676.95,232256.5,232256.5,929026,46451.3,69676.95,232256.5
sj,151442000,37155.3,37155.3,123851.0,123851.0,495404,24770.2,37155.3,123851.0
sm,159216000,58640.85,58640.85,195469.5,195469.5,781878,39093.9,58640.85,195469.5
sv,296001000,111728.1,111728.1,372427.0,372427.0,1489708,74485.4,111728.1,372427.0
tl,146676000,36658.8,36658.8,122196.0,122196.0,488784,24439.2,36658.8,122196.0
tm,277299000,111514.05,111514.05,371713.5,371713.5,1486854,74342.7,111514.05,371713.5
tr,262111000,58450.5,58450.5,194835.0,194835.0,779340,38967.0,58450.5,194835.0
vl,269848000,60496.65,60496.65,201655.5,201655.5,806622,40331.1,60496.65,201655.5
vn,227249000,58737.9,58737.9,195793.0,195793.0,783172,39158.6,58737.9,195793.0
vs,253227000,72190.8,72190.8,240636.0,240636.0,962544,48127.2,72190.8,240636.0
