Siruta,Localitate,Diferenta_Barbati_Femei
1017,Municipiul Alba Iulia,19589.65
88216,Batrana,-176.9
3841,Ceru-Bacainti,-372.65
88920,Bulzestii De Sus,-408.9
51662,Brebu Nou,-432.1
12402,Sistarovat,-462.55
155662,Bara,-468.35
89026,Bunila,-468.35
158608,Secas,-545.2
90066,Lelese,-569.85
48165,Pardosi,-580.0
89151,Cerbal,-669.9
156035,Bogda,-675.7
111220,Ciresu,-711.95
116224,Cozma,-778.65
133866,Jugureni,-783.0
6627,Ramet,-785.9
63161,Dumbraveni,-814.9
46108,Chiliile,-822.15
6397,Ponor,-835.2
111818,Godeanu,-843.9
161133,Pardina,-845.35
6119,Ocolis,-855.5
72604,Gogosu,-881.6
145382,Rau Sadului,-885.95
4981,Intregalde,-909.15
47417,Margaritesti,-938.15
6164,Ohaba,-978.75
52035,Ciudanovita,-986.0
86749,Carjiti,-986.0
160047,Ceatalchioi,-1000.5
58990,Ploscos,-1000.5
53327,Mehadica,-1009.2
156151,Brestovat,-1009.2
115600,Bala,-1020.8
129503,Topana,-1023.7
70968,Botosesti-Paia,-1030.95
11307,Ignesti,-1045.45
50987,Ocna De Fier,-1049.8
50068,Valea Salciei,-1081.7
144866,Ludos,-1081.7
63170,Vulturu,-1086.05
54485,Valiug,-1115.05
91535,Toplita,-1116.5
100709,Ciocarlia,-1132.45
40991,Fundata,-1138.25
120174,Vetca,-1145.5
52954,Goruia,-1146.95
92097,Vorta,-1149.85
174496,Titesti,-1165.8
45888,Canesti,-1174.5
5826,Mogos,-1177.4
89080,Burjuc,-1187.55
161231,Sfantu Gheorghe,-1212.2
153909,Rasmiresti,-1222.35
112959,Podeni,-1225.25
48021,Odaile,-1238.3
87843,Balsa,-1242.65
115771,Bichis,-1249.9
126905,Fagetelu,-1251.35
159883,C.a. Rosetti,-1255.7
54699,Zorlentu Mare,-1258.6
129317,Tatulesti,-1260.05
12288,Silindia,-1268.75
179604,Poienile Izei,-1281.8
90119,Lunca Cernii De Jos,-1286.15
135681,Tataru,-1291.95
118637,Papiu Ilarian,-1296.3
47818,Murgesti,-1300.65
116340,Craiesti,-1315.15
143067,Zalha,-1318.05
110688,Balvanesti,-1323.85
91731,General Berthelot,-1331.1
11478,Moneasa,-1334.0
16329,Dambovicioara,-1341.25
144410,Bruiu,-1344.15
144893,Marpod,-1347.05
112904,Dubova,-1354.3
172812,Runcu,-1355.75
60026,Valea Ierii,-1358.65
102641,Dragoesti,-1360.1
174520,Mitrofani,-1368.8
3397,Blandiana,-1374.6
160779,Maliuc,-1380.4
113607,Svinita,-1393.45
65147,Dalnic,-1402.15
141884,Lozna,-1402.15
74135,Seaca De Padure,-1413.75
