Siruta,Y_c1,Y_c2
1017,0.010367135573295444,0.16825635247532564
1071,-0.09731391312445932,-5.2860520199006245e-05
1151,-0.03567078847864572,-5.289237250127684e-05
1213,0.4712403610297508,-5.3154304180089665e-05
1348,0.34152178568811636,-5.308727585722221e-05
1455,0.015885279406947474,-5.291901260859961e-05
1696,0.48220455316042987,-5.3159969609319555e-05
1794,0.18673175767432923,-5.300729258605901e-05
1874,0.6231309693467585,-5.323278925979473e-05
1936,0.024291160040468114,-5.292335610434935e-05
2130,-0.11819460791555701,-5.284973070383742e-05
2309,-0.13863673502142315,-5.2839167825754704e-05
2381,-0.1280380159617667,-5.284464440736317e-05
2577,-0.13198512512881116,-5.284260485285461e-05
2915,-0.07068310868261748,-5.287428089632321e-05
2988,-0.11987578404226115,-5.284886200469113e-05
3039,-0.05209271180326286,-5.288388694726344e-05
3397,-0.14689642642653472,-5.2834899869061484e-05
3459,-0.13271607127085644,-5.2842227157571805e-05
3761,-0.1460436559274819,-5.283534051354708e-05
3805,-0.13032831387350852,-5.284346096213603e-05
3841,-0.1637325525649775,-5.282620028770427e-05
3958,-0.09263585781537398,-5.2862937448901034e-05
4008,-0.14080520857615741,-5.283804732972952e-05
4106,-0.12418836628032824,-5.284663360250689e-05
4142,-0.11853571611517814,-5.2849554446054364e-05
4188,-0.11765858074472381,-5.285000768036362e-05
4240,-0.09324497960041171,-5.286262270283407e-05
4268,-0.14565381798505775,-5.283554195103337e-05
4302,-0.1304501382305161,-5.284339801292019e-05
4366,-0.06259397137731326,-5.287846072501919e-05
4482,-0.11836516201536758,-5.2849642574932223e-05
4525,-0.12867150261820592,-5.284431707144479e-05
4703,-0.14082957344755898,-5.283803473991933e-05
4767,-0.11877936482919324,-5.2849428547622277e-05
4927,-0.0026807526010024407,-5.2909419148402494e-05
4981,-0.15471755014641914,-5.283085852955821e-05
5103,-0.04064122224455359,-5.288980417336424e-05
5167,-0.1390265729638473,-5.283896638826841e-05
5210,-0.10381933378866665,-5.285715871106313e-05
5309,-0.10786390244131716,-5.285506879717627e-05
5336,-0.09266022268677548,-5.286292485904921e-05
5577,-0.10096864383469008,-5.285863172268134e-05
5700,-0.09010191118961704,-5.286424679254639e-05
5755,-0.11829206740116306,-5.2849680344472994e-05
5826,-0.15021004893713996,-5.2833187650443965e-05
6048,-0.12572335317862332,-5.284584044244172e-05
6119,-0.15561905038827498,-5.283039270534287e-05
6164,-0.1535480363191467,-5.283146284196158e-05
6217,-0.082012773884316,-5.286842662034746e-05
6271,-0.14294931725949023,-5.283693942357004e-05
6397,-0.15596015858789608,-5.28302164475594e-05
6468,-0.14404573647255814,-5.2836372880652774e-05
6547,-0.1376621401653628,-5.283967141948306e-05
6592,-0.14438684467217927,-5.2836196622897055e-05
6627,-0.1567885642155474,-5.282978839291175e-05
6761,-0.10004277872143275,-5.285911013670729e-05
6930,-0.1309861654013493,-5.2843121036394e-05
6976,-0.13225313871422775,-5.284246636455723e-05
7044,-0.11263941723601294,-5.2852601187979256e-05
7099,-0.0135962149888785,-5.290377889883452e-05
7197,-0.12901261081782706,-5.2844140813661733e-05
7348,-0.10413607711688626,-5.285699504310373e-05
7384,-0.0964367777540094,-5.2860973433418926e-05
7446,-0.1262106506066535,-5.2845588645591004e-05
7767,-0.1095938083108243,-5.2854174918326736e-05
7810,-0.10995928138184694,-5.285398607069227e-05
7865,-0.06198484959227554,-5.287877547109289e-05
7945,-0.10686494271385527,-5.2855584980729114e-05
8014,-0.09901945412256935,-5.28596389100838e-05
8096,0.013205143552781474,-5.291762772589511e-05
8158,-0.046440061638112755,-5.288680779079031e-05
8229,-0.13649262633809034,-5.28402757319411e-05
8354,-0.0935373580572298,-5.2862471624712614e-05
8425,-0.12959736773146324,-5.2843838657418836e-05
8826,-0.03659665359190308,-5.289189408726477e-05
9019,-0.1390753027066503,-5.283894120859251e-05
9026,-0.11137244392313447,-5.2853255859815604e-05
9262,4.195094211422195,-5.507849797855024e-05
9280,-0.07955192187276361,-5.286969819447979e-05
9333,-0.08535076126632275,-5.286670181187811e-05
9360,-0.10296656328961384,-5.2857599355575653e-05
9397,0.1463104360192256,-5.2986406036919796e-05
9459,0.03557209549936682,-5.292918520154842e-05
9495,0.04236989462038788,-5.293269776766111e-05
9538,0.06344550838269324,-5.2943587981648746e-05
9574,0.10766774997643223,-5.296643854626355e-05
9627,0.02497337643971037,-5.2923708619943006e-05
9654,0.02799462049349752,-5.292526976042183e-05
9690,-0.012962728332439269,-5.290410623474764e-05
9743,-0.10603653708620397,-5.2856013035376764e-05
9798,-0.08639845073658765,-5.286616044866366e-05
9832,-0.1323505981998338,-5.284241600520627e-05
9887,-0.1441919257009672,-5.283629734159899e-05
9930,-0.09629058852560034,-5.286104897247271e-05
10006,-0.12396908243771466,-5.284674691108757e-05
10051,-0.12530915036479767,-5.284605446975167e-05
10104,-0.10803445654112771,-5.285498066827107e-05
10195,-0.08725122123564047,-5.286571980415114e-05
10239,-0.14012299217691518,-5.283839984532338e-05
10293,-0.08698320765022387,-5.286585829242076e-05
10346,-0.1417310736894148,-5.283756891573091e-05
