Judet,V1,V2,V3,V4,V5,C1,C2,C3,C4,C5,C6,C7,C8,Populatie
ab,3485118,1052584,649688,3447,394550,1166464,510601,242320,39777,795938,296934,599092,1082354,381185
ag,5128662,6985640,906712,20859,2229550,7237376,2318477,888080,59823,2183242,61557,1914404,6556186,646530
ar,3687918,3044080,669968,8931,1002950,3194464,1096693,445120,38727,1201538,40053,1000636,2907554,474347
b,104000,1021280,18830,3118,312000,1044959,305975,104025,3500,212531,3517,221056,941225,2107399
bc,4978383,9337355,856933,28086,2939575,9621284,2987408,1111970,63612,2595103,65193,2343941,8697949,747689
bh,5647233,13348018,963219,40299,4170367,13716376,4188025,1532098,78881,3460660,80598,3196963,12387094,619475
bn,4042024,14170503,652110,42996,4385142,14506644,4329666,1548288,66680,3337391,67734,3169370,13082067,329490
br,2801066,9639205,458512,29238,2983992,9870460,2949772,1055668,46046,2280313,46794,2166452,8901993,356380
bt,4808518,14048372,782028,42549,4364750,14400464,4335227,1565720,72345,3442738,73671,3219424,12992954,456404
bv,3792996,11736663,594740,35583,3641758,12020916,3603711,1297812,57739,2833729,58725,2649444,10842793,631356
bz,5898397,20923529,925767,63510,6473525,21412556,6381740,2281430,96744,4910077,98223,4650295,19307591,479018
cj,5926311,23749281,905391,72171,7331175,24282828,7197903,2558790,103113,5440851,104490,5190291,21888333,722438
cl,4940022,30620523,762632,93285,9393460,31265793,9160128,3197595,114295,6583030,115230,6500694,28164316,317592
cs,5473454,20583851,840718,62524,6361408,21057059,6259175,2229957,91938,4774338,93247,4537708,18983592,328297
ct,5255103,22255484,799739,67655,6863517,22745777,6726812,2387173,94395,5046599,95585,4829041,20500279,770220
cv,3491895,15153135,522945,46080,4671375,15485460,4575390,1621050,63270,3421695,64035,3278505,13955685,228852
db,7372303,37931500,1115551,115460,11663601,38745838,11397046,4007004,149458,8350306,150971,8123903,34909744,528791
dj,9179441,42936835,1346541,130647,13221025,43858468,12921991,4564690,173049,9572381,174936,9207857,39518923,700840
gj,6109103,30641764,885139,93275,9425517,31285777,9194872,3241173,120015,6754599,121205,6519961,28186279,366429
gl,5608582,27014081,807896,82225,8314608,27590603,8120678,2863977,107055,5994486,108160,5774714,24858776,632255
gr,5860267,33307275,780827,101490,10228675,33972039,9932757,3490455,122118,7194954,123036,6953021,30596326,276930
hd,6377739,33285577,904199,101361,10233275,33979372,9973513,3509110,127719,7293599,128892,7053571,30610217,470223
hr,6126975,30828882,862889,93867,9482833,31474008,9245673,3257622,119461,6789268,120600,6543633,28354330,333789
if,4985296,28559937,618308,87061,8770174,29120814,8503347,2987506,102341,6153553,103021,5922528,26224053,390919
il,7311940,41201035,960502,125562,12654474,42032644,12296212,4316416,150774,8916119,151896,8620650,37856235,293940
is,9566305,51844920,1331089,157927,15931283,52916607,15513294,5449747,195363,11297729,197029,10945011,47665945,921056
mh,7029946,40966068,957836,124839,12576850,41797008,12226137,4286040,150051,8835486,151173,8587304,37644838,287005
mm,8189125,48521751,1116935,147877,14893525,49507059,14478342,5071075,176909,10445956,178201,10170525,44588400,526197
ms,11150062,66115788,1508852,201501,20293750,67451376,19720323,6909480,240465,14226042,242199,13836776,60748786,596352
nt,9372404,56314096,1253154,171644,17282500,57443233,16783951,5880135,203350,12091033,204761,11756056,51733187,578007
ot,12909141,79562489,1727941,242536,24410125,81160427,23706239,8294415,285320,17036312,287224,16607799,73091448,450333
ph,12445155,77557783,1641515,236444,23792075,79101781,23089981,8079825,276172,16574224,277940,16143561,71234640,809394
sb,8020217,51960540,1053083,158432,15932767,52988049,15453483,5401733,182880,11051773,183968,10788693,47715821,464513
sj,7720289,49026862,999053,149490,15036683,49998280,14585842,5100382,172792,10450842,173829,10183121,45023672,247702
sm,8106446,51537298,1057056,157136,15806350,52557049,15331807,5362515,181966,10983955,183071,10703638,47328113,390939
sv,14700034,95873240,1910184,292353,29395850,97768832,28508759,9960560,335901,20376094,337839,19896268,88039502,744854
tl,7051481,47556633,902071,145044,14576225,48490188,14127102,4931190,164526,10065921,165393,9841759,43662443,244392
tm,13440669,89885367,1726329,274131,27552525,91653012,26707923,9324810,311949,19044729,313632,18614541,82529007,743427
tr,12934741,84928769,1660129,259007,26038441,86608202,25250357,8817484,296061,18036329,297710,17616225,77988083,389670
vl,12682361,87536248,1620397,267000,26823567,89249920,25990528,9066118,300998,18480808,302511,18095969,80362278,403311
vn,10755961,73733888,1348955,224913,22595883,75172736,21887951,7637162,252799,15572294,254040,15224299,67685688,391586
vs,12130497,82122751,1540547,250475,25169825,83728597,24387094,8513505,283327,17369746,284789,16974717,75391266,481272
