,Year,No_of_iPhone_Users,No_of_iPhone_Users_USA,Percentage_of_iPhone_Users,No_of_iPhone_Sold,No_of_iPhone_Sold_USA,iOS_Market_Share,Android_Market_Share,os_type
0,2023,1.5900364953077937,1.1604680473225095,3.0138069187830903,0.9083408574783213,0.0,1.1646562577061317,-0.7476334805181285,ios
1,2022,1.3580185983608712,1.0525175312925088,0.6046626813894512,0.71825617862636,1.448182338461422,0.6377963358650759,-0.05489170118772527,ios
2,2021,1.056395332329872,0.8366164992325069,0.15435534729718095,0.9338400217145599,1.0822457068705467,1.350606818355915,-0.9114575499543736,ios
3,2020,0.5227541693519505,0.7556536122100063,-0.24591783856261426,0.24768069317577324,0.9602668296735881,1.7225079396554843,-1.3374001304886072,ios
4,2019,0.4021048629395509,0.5667402091575047,-0.27093491267885,-0.10235328861259432,0.5986865865540326,0.05282686382096025,0.6799762674262853,ios
5,2018,0.26289412477139745,0.4587896931275038,-0.29595198679508755,0.31026955084654095,0.4549257670004744,-0.10600590673406268,0.7829513967862097,ios
6,2017,0.09120088103067485,0.40481443511250337,-0.5211056538412218,0.47253695962260533,0.250175508848437,-0.46628511799302,1.0169857816951302,ios
7,2016,-0.15009773179412447,0.1079505160300009,-0.6962251726548827,0.4632645362639731,-0.05912807261527919,-0.7374630189406235,1.0029437186005978,ios
8,2015,-0.47724296648928505,-0.242888661067502,-0.7462593208873578,0.8364795764489212,-0.39021359643559506,-1.6439720021083215,1.5739876177783634,ios
9,2014,-0.7719056956118765,-0.593727838165005,-0.9964300620497296,-0.06294548933840725,-0.8345652205102295,-1.0822463501454325,-0.22339645832214777,ios
10,2013,-1.034085919161899,-1.0255299022850084,-1.7775700283264353e-15,-0.9739610843240261,-1.4662415488516216,-0.8924218194821101,-1.7820654618155576,ios
11,2012,-1.3194679324066134,-1.5922701114425133,-1.7775700283264353e-15,-1.379629606264187,-2.0443342989957785,0.0,3.3258286423023336e-15,android
12,2011,-1.5306042186283129,-1.8891340305250157,-1.7775700283264353e-15,-2.3717789056378384,0.0,0.0,3.3258286423023336e-15,android
