Descriptive Statistics:
========================================
                      count          mean           std     min           25%           50%       75%        max
price                1020.0  31371.767647  39168.942590   99.00  12464.250000  19815.000000  34999.00  650000.00
rating               1020.0     78.258248      6.871624   60.00     75.000000     78.258248     83.00      89.00
Processor_Speed_GHz  1020.0   1124.503952   2274.855697    1.00     35.000000    680.000000    865.00    9863.00
Processor_Cores      1020.0      7.438235      1.755157    0.00      8.000000      8.000000      8.00       8.00
ram_gb               1020.0      7.173604     16.250170    1.00      4.000000      6.000000      8.00     512.00
inbuilt_storage_gb   1020.0    135.971399     85.145878    4.00     64.000000    128.000000    128.00     512.00
battery_mAh          1020.0   4755.995947   1082.553407  800.00   4500.000000   5000.000000   5000.00   22000.00
display_inches       1020.0      6.487704      0.610759    1.77      6.487704      6.560000      6.67       8.03
camera_primary       1020.0     49.964361     32.521975    2.00     48.000000     50.000000     64.00     200.00
resolution_width     1020.0   1060.914894    304.242228  120.00   1060.914894   1080.000000   1080.00    2460.00
resolution_height    1020.0   2179.227964    563.545631  160.00   1612.000000   2400.000000   2408.00    3840.00
