Code,Country,v1,v2,v3
BEL,Belgium,3.76,41.21,6.59
BGR,Bulgaria,0.41,26.75,9.57
CZE,Czech Republic,1.27,44.47,8.06
DNK,Denmark,12.24,25.07,3.97
DEU,Germany,6.23,26.87,4.62
EST,Estonia,4.95,45.9,6.53
IRL,Ireland,0.67,22.19,3.06
GRC,Greece,0.3,23.62,8.38
ESP,Spain,0.6,22.05,4.45
FRA,France,4.01,40.37,5.03
HRV,Croatia,5.12,56.75,10.43
ITA,Italy,0.33,26.63,5.73
CYP,Cyprus,0.65,34.22,8.46
LVA,Latvia,9.07,55.15,11.26
LTU,Lithuania,0.64,64.7,10.42
LUX,Luxembourg,4.63,36.7,6.55
HUN,Hungary,3.28,41.32,8.58
MLT,Malta,0.27,19.72,3.11
NLD,Netherlands,2.93,37.01,4.54
AUT,Austria,6.04,32.13,5.86
POL,Poland,5.28,35.51,9.49
PRT,Portugal,0.76,23.88,7.55
ROU,Romania,1.17,36.06,11.84
SVN,Slovenia,12.83,44.28,7.79
SVK,Slovakia,2.53,40.67,9.07
FIN,Finland,3.68,44.01,5.52
SWE,Sweden,2.28,33.89,3.21
GBR,United Kingdom,1.35,26.97,2.77
ISL,Iceland,3.15,29.58,4.62
LIE,Liechtenstein,,15.71,3
NOR,Norway,3.02,39.56,3.46
CHE,Switzerland,2.66,33.96,4.04
SRB,Serbia,3.34,21.9,7.79
TUR,Turkey,0.04,31.69,10.27
