Country,GDP,UnemploymentRate,ExportRate,ImportRate,Population,GDP_per_Capita,Cluster Optim
USA,21427700,5.2,12.3,15.4,331002651,64780.0,9
Canada,1844720,6.0,30.1,28.5,38005238,48550.0,3
Germany,3845630,3.1,47.0,39.8,83783942,45880.0,1
France,2777530,8.5,41.2,39.7,65273511,42540.0,1
Japan,5064870,2.4,16.0,18.1,126476461,40060.0,4
India,2875142,8.5,19.1,22.3,1380004385,20830.0,7
China,14140163,4.0,35.5,30.1,1444216107,9789.0,8
Brazil,2117270,12.3,14.5,15.0,212559417,9949.0,5
Argentina,449663,10.6,17.1,18.7,45195774,9950.0,5
Australia,1392687,5.6,25.1,21.3,25499884,54600.0,3
New Zealand,211399,4.1,30.2,25.4,5084300,3.1,6
SouthAfrica,350168,30.1,21.4,25.7,59308690,5904.0,2
Nigeria,432293,33.3,15.1,16.2,206139589,2097.0,2
