Country,GDP_per_Capita,EducationExpenditure,HealthcareExpenditure,LifeExpectancy,InfantMortalityRate,Population
USA,65000,12000,100000,79,5.8,331002651
Germany,45000,10000,6500,81,3.1,83783942
Japan,40000,8000,4800,84,1.6,126476461
India,2000,500,150,69,28.3,1380004385
Brazil,15000,1000,850,76,12.4,212559417
South Africa,6000,300,500,64,33.2,59308690
Australia,55000,11000,7200,82,3.5,25499884
Canada,52000,10500,7500,82,4.2,37742154
United Kingdom,43000,9500,7000,81,3.8,67886011
France,44000,9800,7200,82,3.2,65273511
China,10000,1200,2000,76,7.4,1444216107
Russia,12000,800,1100,72,8.6,145912025
Italy,40000,8500,7100,83,2.8,60461826
Mexico,9500,1100,650,75,15.4,126190788
Argentina,11000,1200,800,75,10.4,45195777
Nigeria,2000,250,100,61,35.6,206139589
Ethiopia,800,200,50,64,37.8,114963588
Spain,42000,9100,6800,83,3.0,46754778
Turkey,15000,900,850,78,10.5,84339067
South Korea,35000,8000,5000,84,2.3,51269185
