Country,GDP_per_Capita,EducationExpenditure,HealthcareExpenditure,LifeExpectancy,InfantMortalityRate,Population,Health_per_Capita,Health_GDP,HealthToGDP_Category
USA,65000,12000,100000,79,5.8,331002651,0.00030211238398812705,153.84615384615387,High
Germany,45000,10000,6500,81,3.1,83783942,7.758049865927769e-05,14.444444444444443,Medium
Japan,40000,8000,4800,84,1.6,126476461,3.795172605280282e-05,12.0,Medium
India,2000,500,150,69,28.3,1380004385,1.0869530679063749e-07,7.5,Low
Brazil,15000,1000,850,76,12.4,212559417,3.9988818749912175e-06,5.666666666666666,Low
South Africa,6000,300,500,64,33.2,59308690,8.43046777799341e-06,8.333333333333332,Low
Australia,55000,11000,7200,82,3.5,25499884,0.00028235422561137926,13.090909090909092,Medium
Canada,52000,10500,7500,82,4.2,37742154,0.00019871679819864017,14.423076923076922,Medium
United Kingdom,43000,9500,7000,81,3.8,67886011,0.00010311402742458973,16.27906976744186,Medium
France,44000,9800,7200,82,3.2,65273511,0.00011030508225610845,16.363636363636363,Medium
China,10000,1200,2000,76,7.4,1444216107,1.384834298901778e-06,20.0,High
Russia,12000,800,1100,72,8.6,145912025,7.53878921219824e-06,9.166666666666666,Low
Italy,40000,8500,7100,83,2.8,60461826,0.00011742946698301834,17.75,Medium
Mexico,9500,1100,650,75,15.4,126190788,5.1509306685682955e-06,6.842105263157896,Low
Argentina,11000,1200,800,75,10.4,45195777,1.7700768812980028e-05,7.2727272727272725,Low
Nigeria,2000,250,100,61,35.6,206139589,4.851081758972557e-07,5.0,Low
Ethiopia,800,200,50,64,37.8,114963588,4.3492031581338606e-07,6.25,Low
Spain,42000,9100,6800,83,3.0,46754778,0.0001454396810524905,16.19047619047619,Medium
Turkey,15000,900,850,78,10.5,84339067,1.0078366174005696e-05,5.666666666666666,Low
South Korea,35000,8000,5000,84,2.3,51269185,9.752446815762723e-05,14.285714285714285,Medium
