Country,GDP_per_Capita,HealthcareExpenditure,EducationExpenditure,ResearchExpenditure,InfantMortalityRate,LifeExpectancy
USA,65000,9000.0,1500.0,2000.0,5.8,79
Germany,55000,8000.0,1400.0,1900.0,3.2,81
Japan,49000,3642.8571428571427,1300.0,1800.0,1.6,84
India,2000,200.0,300.0,100.0,28.3,69
Brazil,8500,1000.0,400.0,1176.0,12.4,76
South Africa,6000,500.0,989.2857142857143,120.0,33.2,64
Australia,58000,7000.0,1600.0,2100.0,3.5,82
Canada,45000,6500.0,1500.0,1800.0,13.764285714285716,80
Italy,40000,3642.8571428571427,1200.0,1700.0,3.4,82
Russia,11000,1200.0,800.0,900.0,8.5,73
Mexico,9000,700.0,400.0,300.0,13.764285714285716,75
China,12000,800.0,500.0,600.0,10.1,77
Nigeria,3000,100.0,989.2857142857143,150.0,56.2,54
Argentina,10000,1500.0,450.0,320.0,20.4,76
South Korea,42000,6000.0,1200.0,2000.0,3.0,83
France,48000,8500.0,1300.0,1850.0,3.1,82
