Country,Continent,GDP_per_Capita,EducationExpenditure_per_Capita,HealthcareExpenditure,InfantMortalityRate,Population,GDP_to_Edu_Ratio
Japan,Asia,45000,1000,4800,1.6,125800000,45.0
South Africa,Africa,6000,150,500,33.2,60000000,40.0
Turkey,Asia,10500,300,750,15.0,85000000,35.0
South Korea,Asia,42000,1200,7000,2.8,52000000,35.0
Italy,Europe,42000,1200,6500,3.5,60000000,35.0
Argentina,South America,8500,250,800,11.0,45000000,34.0
Germany,Europe,50000,1500,6500,3.1,83000000,33.333333333333336
USA,North America,65000,2000,10000,5.8,331000000,32.5
France,Europe,45000,1400,7200,3.2,68000000,32.142857142857146
Mexico,North America,9500,300,600,14.5,126000000,31.666666666666668
Australia,Oceania,55000,1800,7200,3.5,26000000,30.555555555555557
Canada,North America,58000,1900,9500,4.0,38000000,30.526315789473685
Brazil,South America,9000,300,850,12.4,213000000,30.0
UK,Europe,43000,1500,8000,3.8,67000000,28.666666666666668
China,Asia,10000,400,3000,7.5,1439323776,25.0
Russia,Europe,12000,500,2500,9.0,146000000,24.0
Indonesia,Asia,4200,200,500,25.0,273000000,21.0
Egypt,Africa,3000,150,200,40.0,102000000,20.0
Nigeria,Africa,1500,100,120,72.0,211000000,15.0
India,Asia,2100,200,150,28.3,1400000000,10.5
