Country,PetrolProduction,GasProduction,CoalProduction,EnergyConsumption,WheatProduction,CornProduction,GrainConsumption,GDP,GDP_per_Capita,Population
USA,12000,800,500,22000,1500,1200,2700,21000,65000,330
China,4000,1800,3800,30000,1350,1750,2500,14000,10000,1400
India,800,300,700,12000,900,600,1500,2800,2100,1300
Germany,150,50,100,6000,750,400,950,4500,55000,82
Brazil,200,20,50,3500,1200,800,1400,2200,10500,210
Russia,1100,1600,1500,8500,600,300,900,1600,11000,150
Australia,300,500,200,4500,500,250,700,1400,55000,25
Canada,500,900,300,5000,400,300,600,1800,48000,38
South Africa,50,10,400,2500,350,150,500,350,6000,60
Japan,0,0,0,5500,800,350,900,5000,40000,125
