Country,StockIndex,BondIndex,InterestRate,InflationRate,CurrencyValue,GDP,Region
USA,4000,5000,1.5,2.1,1.0,21000000,NorthAmerica
CAN,3500,4500,1.2,1.9,0.75,1800000,NorthAmerica
BRA,2500,3000,4.0,5.0,5.3,2200000,SouthAmerica
ARG,2000,2800,9.5,8.0,95.0,500000,SouthAmerica
DEU,4500,5200,4.5,1.0,0.85,4000000,Europe
FRA,4200,4900,0.6,1.2,0.9,2800000,Europe
CHN,3800,4800,3.0,3.5,6.5,14700000,Asia
JPN,3900,4700,0.1,0.5,110.0,5000000,Asia
AUS,3700,4600,1.8,2.3,1.35,1400000,Oceania
NZL,3600,4500,2.0,2.5,1.4,200000,Oceania
