Country,GDP_per_Capita,EducationExpenditure,HealthcareExpenditure,LifeExpectancy,InfantMortalityRate,Population,UnemploymentRate
USA,65000,12000,10000,79,5.8,331002651,4.0
Germany,45000,10000,6500,81,3.1,83783942,3.8
Japan,40000,8000,,84,1.6,126476461,2.4
India,2000,500,150,69,28.3,1380004385,7.1
Brazil,15000,1000,850,76,12.4,212559417,8.5
South Africa,6000,,500,64,33.2,59308690,29.1
Australia,55000,11000,7200,82,3.5,25499884,4.5
Canada,48000,9000,8500,80,4.2,37742154,5.5
China,10000,1500,3000,76,,1439323776,5.1
Mexico,9000,700,1000,74,14.3,128932753,4.7
Russia,11000,1200,2500,73,10.1,145912025,5.8
United Kingdom,42000,9500,6800,81,,67886011,3.9
France,43000,10500,7200,82,3.4,65273511,7.4
Italy,36000,9500,6200,83,3.6,60461826,9.2
Spain,32000,9000,,82,3.9,46754778,13.6
Nigeria,2000,400,100,54,75.2,206139589,14.2
Kenya,1800,300,120,61,44.3,53771296,12.6
Egypt,3000,500,250,71,22.5,102334404,9.9
South Korea,35000,9500,6500,83,3.0,51269185,3.7
Turkey,9000,700,1000,77,13.1,84339067,11.4
