Country,prodPorc,prodVite,prodOaieSiCapra,prodPasareDeCurte,consPorc,consVita,consumOaieSiCapra,consPasareDeCurte
Romania,-0.6892666609736351,-0.7460624091979309,-0.2109771164688682,-0.22687980729064644,-0.45809534641993455,-0.6471472374961261,0.10385953028228513,1.3636461203572343
Germany,3.0909301828036453,3.2147745385101856,2.37828749473997,2.704587009682559,1.9758811327510433,1.3845940895265954,1.17605644584352,2.3907701294675117
France,2.2601176896657815,2.3660237640013033,3.118077383656781,2.300246759065565,2.472611026459406,2.197290620335684,2.8255901620915744,1.6006747378442214
Italy,1.8447114430968494,1.2343560646561273,1.638497605823159,1.6937363831400745,0.9824213453343176,0.5718975587175068,2.000823303967547,1.1266175028702472
Spain,1.0138989499589857,1.5172729894924213,0.8987077169063481,1.0872260072145836,0.4856914516259548,0.9782458241220512,0.7636730167815067,0.8105793462209312
Poland,0.432330204762481,0.10268836531095119,-0.1369981275771871,0.4807156312890928,1.4791512390426804,0.1655492933129625,-0.06109384134252043,0.4945411895716151
Netherlands,1.1800614485865584,0.3856052901472452,0.4548337835562616,1.4915662578315774,1.6778431965260254,0.7750716914197789,0.3512895877194931,1.7586938161688794
Hungary,-0.06615729112023724,-0.4631454843616369,-0.43291408314391144,0.07637538067209894,-0.011038442082408022,-0.2407989720915818,-0.47347727040453397,0.02048395459764088
Sweden,-0.39848228837538274,-0.18022855952534284,-0.5808720609272736,-0.5301349952533918,-0.5077683357907709,0.36872342601523467,-0.8858606994665476,-0.4535732803763333
Denmark,-0.14923854043402363,-0.32168702194348986,-0.28495610536054927,-0.12579474463639798,0.28699949414260967,0.9782458241220512,-0.47347727040453397,-0.13753512372701718
Czechia,0.1830864568211219,-0.038770097107195825,0.010959850206175077,0.27854550598059585,0.4856914516259548,0.36872342601523467,-0.06109384134252043,0.336522111246957
Austria,-0.23231978974781,0.10268836531095119,0.15891782798953724,0.07637538067209894,-0.25940338893658943,0.5718975587175068,0.3512895877194931,0.25751257208462797
Portugal,-0.3154010390615964,-0.18022855952534284,-0.1369981275771871,-0.32796486994489493,-0.011038442082408022,0.1655492933129625,-0.226047212967326,-0.29555420205167526
Belgium,-0.06615729112023724,0.2441468277290982,0.15891782798953724,0.17746044332634742,0.9824213453343176,0.9782458241220512,0.3512895877194931,0.8105793462209312
Ireland,-0.35694166371848957,0.6685222149835393,0.8987077169063481,-0.22687980729064644,-1.0044982294991336,1.5877682222288676,1.17605644584352,0.02048395459764088
Norway,-0.6477260363167419,-0.4631454843616369,-0.7288300387106358,-0.7323051205618888,-0.706460293274116,-0.03762483938930965,-0.7209073278417419,-0.7696114370256494
Finland,-0.7308072856305283,-0.6046039467797839,-0.876788016493998,-0.8333901832161372,-0.9051522507574611,-0.44397310479385393,-0.8858606994665476,-1.0066400545126366
Bulgaria,-0.48156353768916915,-0.6894790242306721,-0.5808720609272736,-0.5301349952533918,-0.5077683357907709,-0.8503213701983983,-0.226047212967326,-0.4535732803763333
Greece,-0.5646447870029555,-0.7460624091979309,-0.1369981275771871,-0.6312200579076404,-0.706460293274116,-1.0534955029006705,1.17605644584352,-0.6115923587009914
Slovakia,-0.3154010390615964,-0.32168702194348986,-0.28495610536054927,-0.32796486994489493,-0.011038442082408022,-0.2407989720915818,-0.47347727040453397,-0.13753512372701718
Slovenia,-0.48156353768916915,-0.4631454843616369,-0.43291408314391144,-0.5301349952533918,-0.3090763783074257,-0.44397310479385393,-0.06109384134252043,-0.37456374121400426
Lithuania,-0.6477260363167419,-0.7460624091979309,-0.7288300387106358,-0.7323051205618888,-0.5077683357907709,-0.8503213701983983,-0.7209073278417419,-0.8486209761879785
Latvia,-0.6892666609736351,-0.7743541016815603,-0.8028090276023169,-0.8333901832161372,-0.6567873039032797,-1.0534955029006705,-0.8858606994665476,-1.0856495936749655
Estonia,-0.7308072856305283,-0.8026457941651897,-0.876788016493998,-0.9344752458703857,-1.0044982294991336,-1.2566696356029425,-1.050814071091353,-1.2436686719996235
Croatia,-0.5646447870029555,-0.4631454843616369,-0.28495610536054927,-0.6312200579076404,-0.5077683357907709,-0.2407989720915818,-0.06109384134252043,-0.6906018978633204
Luxembourg,-0.896969784258101,-0.887520871616078,-1.0247459942773602,-1.035560308524634,-1.2528631763533151,-1.6630179010074868,-1.298244128528561,-1.3226782111619526
Malta,-0.9800510335718874,-0.9441042565833367,-1.1727039720607224,-1.177079396240582,-1.5012281232074964,-2.0693661664120313,-1.7106275575905745,-1.5597068286489397
