Product,Price,Rating,BatteryLife,Weight,ScreenSize,Storage,RAM,ProcessorSpeed,Cluster - Partitia optimala
Laptop A,1200,4.5,8.0,1.5,15.6,512,16.0,2.6,4
Smartphone B,800,4.7,10.0,0.2,6.1,256,8.0,2.8,5
Tablet C,500,4.2,12.0,0.5,10.2,128,4.0,2.0,7
Smartwatch D,300,4.8,18.0,0.1,1.4,32,1.0,1.1,1
Laptop E,1500,4.9,6.0,2.0,17.3,1024,32.0,3.0,9
Smartphone F,900,4.6,15.0,0.25,6.7,512,12.0,3.2,5
Tablet G,600,4.3,16.133333333333333,0.6,11.0,256,8.0,2.4,7
Smartwatch H,250,4.5,24.0,0.09,1.2,16,0.5,1.0,1
Laptop I,1000,4.4,7.0,1.8,14.0,256,8.0,2.2,3
Smartphone J,700,4.1,20.0,0.18,6.4,128,6.0,2.5,6
Tablet K,400,3.9,8.0,0.4,9.7,64,4.0,1.8,8
Smartwatch L,200,4.0,30.0,0.08,1.1,8,0.25,0.8,2
Laptop M,800,4.2,5.0,1.6,13.3,128,4.0,1.9,3
Smartphone N,600,4.3,25.0,0.22,6.2,256,8.0,2.6,6
Tablet O,550,4.4,14.0,0.55,10.5,128,6.0,2.1,7
Smartwatch P,150,3.8,40.0,0.07,1.0,4,0.2,0.6,2
