County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another,NumeJudet,Regiune
ab,90.67916942417096,4.608061544388828,4.439038182501733,0.0031070470935127964,0.22091104834875983,0.004971275349620474,0.002796342384161517,0.0,0.0,0.0021749329654589572,0.0015535235467563982,0.000932114128053839,0.001864228256107678,0.017399463723671658,0.0059033894776743135,0.000932114128053839,0.0015535235467563982,0.0021749329654589572,0.0,0.0021749329654589572,0.0,0.005281980058971754,Alba,Centru
ag,97.08283543907899,0.035525427877432174,2.7998796554883385,0.0016997812381546495,0.007988971819326852,0.011218556171820687,0.008668884314588713,0.0,0.0027196499810474392,0.0,0.0,0.0,0.006289190581172203,0.010028709305112432,0.0022097156096010447,0.0,0.0005099343714463949,0.0010198687428927898,0.005609278085910344,0.0010198687428927898,0.0008498906190773247,0.02192717797219498,Arges,Sud
ar,84.2131544274509,9.034862421607137,4.0706197022245405,0.3052902977013,0.714898413726445,0.006921561405373603,0.004449575189168746,0.0,0.20344446559365986,1.0965730855084752,0.13225126256695993,0.0017303903513434008,0.0017303903513434008,0.0630356485132239,0.027191848378253444,0.027191848378253444,0.006921561405373603,0.005191171054030203,0.0014831917297229151,0.0034607807026868016,0.0,0.07959795616179643,Arad,Vest
b,97.32625046817971,0.20194101446652765,1.4412420184001389,0.016773308435891993,0.07268433655553197,0.13917637644835112,0.054888998573366994,0.02506978357622567,0.01232447394035075,0.001983939707471096,0.017795337982164983,0.0004809550805990536,0.04232404709271672,0.025851335582199132,0.08013914030481731,0.002404775402995268,0.009619101611981071,0.06204320539727791,0.03396745256730816,0.002765491713444558,0.016713189050817114,0.41356124993011123,Municipiul Bucuresti,Bucuresti-Ilfov
bc,96.39253101004644,0.7210795828162835,2.635789226608493,0.0036243827762426884,0.01518788972901698,0.007248765552485377,0.004832510368323585,0.0008629482800577831,0.0005177689680346698,0.0,0.0,0.0,0.004832510368323585,0.012599044888843633,0.0069035862404622644,0.0,0.0017258965601155661,0.0,0.005005100024335142,0.14048797999340706,0.0,0.04677179677913184,Bacau,Nord-Est
bh,66.98692799698578,25.277416546408627,6.334992254102034,0.012803137134401846,0.12601944979432675,0.007498980321578224,0.004023843099383437,0.0,0.0036580391812576704,1.1083858719210742,0.004206745058446321,0.0,0.007316078362515341,0.02176533312848314,0.03017882324537578,0.0,0.0032922352631319035,0.0025606274268803694,0.001097411754377301,0.0007316078362515341,0.0,0.06712501897607825,Bihor,Nord-Vest
bn,90.2263063351928,5.2235189523812995,4.34868154971197,0.01421018688217569,0.14938914414594956,0.004372365194515596,0.005465456493144495,0.0,0.0,0.0,0.0,0.0,0.001093091298628899,0.008016002856611927,0.0025505463634674314,0.0,0.0014574550648385322,0.0014574550648385322,0.0,0.0,0.0,0.013481459349756421,Bistrita-Nasaud,Nord-Vest
br,96.32390550391203,0.017159507522134115,2.8230689779203337,0.009239734819610677,0.009239734819610677,0.05972828579819759,0.6385316741409521,0.0023099337049026693,0.0,0.0,0.003959886351261719,0.0,0.05840832368111035,0.011219677995241536,0.008249763231795248,0.0,0.0,0.0,0.003299905292718099,0.0013199621170872397,0.011549668524513347,0.018809460168493164,Braila,Sud-Est
bt,98.6262773055015,0.004319083744493168,1.054364561155685,0.1656495647887968,0.006351593741901718,0.0038109562451410306,0.10264175486913175,0.0,0.0,0.0,0.0,0.0,0.003048764996112825,0.002794701246436756,0.01371944248250771,0.0,0.0,0.0,0.005335338743197443,0.0,0.0,0.011686932485099161,Botosani,Nord-Est
bv,87.96858687510431,7.694158649088149,3.593647516329469,0.009508544106061018,0.5646910887477053,0.014359842119357456,0.0155241536425486,0.0017464672847867175,0.0027167268874460047,0.0009702596026592875,0.0032988826490415774,0.0,0.013389582516698167,0.020181399735313178,0.013583634437230025,0.00077620768212743,0.0021345711258504325,0.0027167268874460047,0.0013583634437230024,0.006791817218615013,0.0017464672847867175,0.06811222410668198,Brasov,Centru
